institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments,program_length_type
Justice Insitute of British Columbia,2019-07-08,"Emergency Medical Responder Course/Bylaw Compliance, and Enforcement  & Investigative Skills 1 & 2",1,2742, Completed  , Completed EMR. ,
North Island College,1770-07-07,Health Care Assistant,4,3605, Attending ,,
Native Education College,2018-09-04,Aboriginal Early Childhood Education Program,1,6173,,,
BCIT,2019-07-01,Construction Estimator Certificate,1,7800, Hiatus ,,
Native Education College,2018-09-04,Justice and Public Safety Certificate,1,,,,
Douglas College,2019-09-01,General Studies,2,12000, Hiatus ,,
Simon Fraser University,2021-09-08,Bachelor of Arts,4,27624, Attending ,,
Langara College,2019-09-03,Associate of Arts in Social Sciences,2,9395, Attending ,,
Capilano University,2019-09-03,Bachelor in Music,4,43967.28, Hiatus ,,
Royal Roads University,2021-09-13,Bachelor of Arts,2,18805, Attending ," ccelerated program, two academic years in 12 months ",
Douglas College,2020-01-01,Health Care Support/Mental Health Worker,1,9340, Hiatus ,,
Nicola Valley Institute of Technology,2019-09-01,Associate of Arts in Criminology,,, Hiatus ,,
University of the Fraser Valley,2019-09-01,Community Support Worker,1,8005, Attending ,,
Kwantlen Polytechnic University,2019-09-03,Bachelor of Arts,4,23408, Attending ,,
University of the Fraser Valley,2019-01-01,Qualifying Studies,2,8005, Attending ,,
North Island College,2023-09-05,Welder Foundation Harmonized Certificate,1,3500,, Transfer from BCIT ,
BCIT,2019-08-27,Piping Foundation,1,4170, Hiatus ,,
College of New Caledonia,1770-07-07,University Studies,,, Attending ,,
Camosun College,2019-09-03,Indigenous College Prep,1,, Hiatus , Last attended 05/20 ,
Langara College,2021-01-01,Associate of Arts: Psychology,2,9775, Attending ,,
BCIT,2019-03-01,General Studies,1,6140, Hiatus ,,
Nicola Valley Institute of Technology,1770-07-07,,,,,,
Nicola Valley Institute of Technology,2021-09-08,Adult Updagrading,2,360,,,
Nicola Valley Institute of Technology,2021-04-30,Associate of Arts,2,2927,,,
Nicola Valley Institute of Technology,2021-01-04,Associate of Arts,2,6720,,,
Douglas College,2021-01-01,Academic Foundations,2,7936, Hiatus ,,
University of the Fraser Valley,2019-07-01,,,7810, Hiatus , Transferred out ,
Camosun College,1770-07-07,University Transfer,,, Hiatus ,,
Douglas College,2021-09-07,General Studies,2,12196, Hiatus ,,
North Island College,2019-09-01,Early Childhood Education Certificate,,5250,,,
University of the Fraser Valley,2019-09-01,Bachelor of Integrated Studiies,4,23765, Attending ,,
Nicola Valley Institute of Technology,2020-09-02,Health Care Assistant,1,3561,,,
Nicola Valley Institute of Technology,2020-01-13,Environmental Resources Technology Diploma,17,1664,,,week
University of the Fraser Valley,2019-09-03,Heavy Mechanical Foundations,,5174, Completed  ,,
Nicola Valley Institute of Technology,2019-09-04,Environmental Resources Technology Diploma,34,4904,,,week
Nicola Valley Institute of Technology,2021-09-08,Administrative Studies Certificate,1,3229,,,
College of New Caledonia,2020-05-04,Nursing Unit Clerk,1,6800, Completed  ,,
Okanagan College,2019-09-01,Esthetics and Nail Certificate,1,, Completed  ,,
Vancouver Community College,2017-09-11,Fashion Design,2,3500, Completed  ,,
Thompson Rivers University,2019-09-01,Bachelor of Business Administration,4,24100, Hiatus ,,
Kwantlen Polytechnic University,1770-07-07,Interior Design,,, Never Attended ,,
University of the Fraser Valley,2019-09-01,Bachelor of Arts,4,23765, Attending ,,
Vancouver Island University,2019-09-03,Bachelor of Business Administration,4,25000, Hiatus ,,
Vancouver Community College,2020-01-01,Practical Nursing,,16902, Hiatus , w/d Covid ,
Vancouver Island University,2020-01-06,Adult Basic Education,,15000, Hiatus , Last attended Apr 2020; student completing prereq's towards Practical Nursing Diploma ,
Nicola Valley Institute of Technology,2018-09-24,,,,,,
Vancouver Community College,2019-09-01,Professional Cook Plus 1,1,4734, Hiatus ,,
Camosun College,2020-09-08,Mental Health & Addictions,1,, Completed  , program completed June 2019 ,
College of New Caledonia,2019-09-03,Associate of Arts ,,, Hiatus ,,
College of New Caledonia,2019-09-03,JET,,, Completed  , Correction - Rec AUG Funding ,
Douglas College,2019-09-01,Criminology Diploma,2,12000, Hiatus ,,
Northern Lights College,2021-01-02,Education Assistant,1,, Completed  ,,
University of the Fraser Valley,2019-09-01,Criminal Justice,2,10804,, Starting in Winter ,
BCIT,2019-09-01,Forest and Natural Areas Management,,, Completed  ,,
Nicola Valley Institute of Technology,1770-07-07,,,,,,
Capilano University,2019-09-03,Bachelor of Common Studies,4,24333.06, Attending , credit from Summer 2021 (562.89) plus charges $2115.02 for Fall 2021 ,
Nicola Valley Institute of Technology,2019-09-04,Associate of Arts in Criminology,2,5600, Hiatus ,,
University of Northen BC,2022-09-07,BSc - Psychology,4,19604,, Transfer ,
University of Victoria,2019-05-06,Bachelor of Science in Nursing,,, Hiatus ,,
Douglas College,2019-09-01,General Studies,2,12000, Hiatus ,,
Camosun College,2019-09-03,University Transfer,2,, Hiatus , Last attended 12/19 ,
Thompson Rivers University,1770-07-07,Bachelor of Arts,,,,,
Nicola Valley Institute of Technology,2015-09-08,Associate of Arts  ,2,5600, Hiatus , Has been on hiatus off and on over the years but still actively working towards program ,
North Island College,1770-07-07,,,, Never Attended ,,
Douglas College,2018-05-01,Vet Office Animal Care Certificate,1,14000, Completed  ,,
College of New Caledonia,2019-08-19,Health Care Assistant,,, Completed  ,,
Nicola Valley Institute of Technology,2018-09-04,Associate of Arts in Criminology,2,5600, Hiatus ," Last attended date: Apr 24, 2020 ",
University of British Columbia,2019-09-02,Bachelor of Arts,4,, Attending , Not Eligible - under 24 months ,
Nicola Valley Institute of Technology,2019-09-01,,,,,,
Nicola Valley Institute of Technology,2021-09-07,Adult Upgrading,5,900,,,
College of New Caledonia,1770-07-07,,,, Hiatus ,,
College of New Caledonia,2019-09-03,University Transfer,,, Hiatus ,,
University of Northen BC,2019-09-04,Undeclared,4,24565, Hiatus ,,
University of the Fraser Valley,2019-09-04,Early Childhood Education Certificate,,3083, Never Attended ,,
Nicola Valley Institute of Technology,2019-09-03,,,,,,
Nicola Valley Institute of Technology,2020-09-01,,,,,,
Nicola Valley Institute of Technology,1770-07-07,,,,,,
Nicola Valley Institute of Technology,2019-09-01,,,, Never Attended ,,
Camosun College,2019-09-03,Indigenous College Preparatory,1,, Never Attended , Withdrew from all Fall '19 courses ,
Nicola Valley Institute of Technology,2020-09-04,Environmental Resources Technology Diploma,1,5594,,,
Nicola Valley Institute of Technology,2019-09-01,,,,,,
Nicola Valley Institute of Technology,1770-07-07,,,,,,
Okanagan College,2019-07-30,PACE,,, Attending , Not billed-ABE ,
University of the Fraser Valley,2019-06-04,Qualifying Studies,1,8005, Attending ,,
Emily Carr University of Art & Design,2022-09-04,Bachelor of Design,4,16200,, Transfer from Camosun ,
Camosun College,2019-09-04,Arts & Science Studies,2,, Hiatus , Last attended 10/19 ,
Nicola Valley Institute of Technology,2019-09-04,Bachelor of Social Work,2,12530, Attending ,,
Nicola Valley Institute of Technology,2019-09-04,Associate of Arts ,2,5600, Hiatus ,,
Okanagan College,2019-09-01,Human Service Worker ,2,7877.32, Attending , Previously enrolled in Landscape Horticulture/Associate of Arts ,
Nicola Valley Institute of Technology,2018-09-01,,,,,,
College of the Rockies,2019-09-03,Business Mgmt,4,, Attending ,,
Vancouver Island University,2019-09-03,Refrigeration/Air Conditioning Mechanic,1,4564.52, Completed  ,,
Nicola Valley Institute of Technology,2019-09-01,,,,,,
Emily Carr University of Art & Design,2019-09-03,Bachelor of Fine Arts - Illustration,4,13950, Attending ,,
Thompson Rivers University,2019-09-01,Bachelor of Arts,4,24100, Hiatus ,,
Nicola Valley Institute of Technology,2020-09-01,,,,,,
Kwantlen Polytechnic University,2019-09-03,Fashion Marketing & Design,4,25000, Hiatus ,,
Vancouver Community College,1770-07-07,Fashion Design,,, Completed  ,,
Okanagan College,2019-08-06,Plumbing and Piping Trades,1,, Hiatus , Terminated for lack of attendance. Missed 113 hours of classes ,
University of Victoria,2019-09-01,Bachelor of Arts,,, Attending ,,
Douglas College,2019-09-02,Associate of Arts in Economics,2,12000, Attending ,,
Justice Institute of British Columbia,2022-04-01,Basic Security Training & Assessment,1,383.49, Attending ,,
University of the Fraser Valley,2019-09-04,Qualifying Studies/Social Services Diploma,1,8005, Attending ,,
Royal Roads University,2019-09-09,Bachelor of Science in Environmental Science,,16183,,,
Camosun College,2019-01-07,Indigenous Studies,2,20000, Attending ,,
University of British Columbia,2022-09-03,Bachelor of Arts,4,9395, Attending ,,
Douglas College,2019-09-03,Bachelor of Arts Child and Youth Care,4,24000, Attending ,,
Vancouver Island University,2016-09-06,Bachelor of Graphic Design,4,, Completed  ,,
University of Victoria,2019-09-01,Bachelor of Fine Arts,,, Attending ,,
Capilano University,2019-09-03,Arts and Science,4,24557.32, Attending , credit from Summer 2021 (362.39) plus charges $2040.31 for Fall 2021 ,
Nicola Valley Institute of Technology,1770-07-07,,,,,,
Nicola Valley Institute of Technology,2018-09-12,,,,,,
North Island College,2020-05-01,University Transfer,,7000,,,
Vancouver Island University,2019-09-03,Haristylist Foundation Certificate,1,7069.36, Hiatus , Withdrew F19 ,
North Island College,2020-09-08,Early Childhood Care & Education Diploma,1,3925,,,
University of the Fraser Valley,2019-08-19,Professional Cook Training,,5586, Completed  ,,
BCIT,2019-10-01,,,, Never Attended ,,
Kwantlen Polytechnic University,2019-09-01,Carpentry,1,6400, Hiatus ,,
Douglas College,2019-09-01,Bachelor Aboriginal Child & Youth Care,4,24000, Attending ,,
Nicola Valley Institute of Technology,1770-07-07,Associate of Arts,,, Hiatus ,,
University of the Fraser Valley,2020-01-06,Qualifying Studies,1,8005, Attending ,,
Camosun College,2020-01-06,Professional Cook 1 & 2,2,, Completed  ,,
Northern Lights College,2021-09-07,Pre-Medicine Certificate,1,4581.36, Attending , Previouslt enrolled in SW  ,
North Island College,2019-09-03,Animal care Aide,,2380, Never Attended ,,
Vancouver Community College,1770-07-07,Fashion Design,2,5700, Completed  ,,
BCIT,2021-09-01,Bachelor of Science in Nursing,3,23475, Attending ,,
Douglas College,2019-09-03,Academic Foundations Certificate,1,1587, Hiatus ,,
North Island College,2021-09-01,University Transfer,2,7300,,,
Thompson Rivers University,2019-09-08,Bachelor of Arts in Communication ,4,24000, Hiatus ,,
Camosun College,2017-09-05,University Transfer,2,, Hiatus , Last attended 04/18 ,
Thompson Rivers University,2019-09-01,Undeclared,4,24100, Never Attended ,,
Douglas College,2019-09-01,Associate of Arts in Psychology,2,12000, Attending ,,
North Island College,2019-10-07,Animal Care Aid Assistant,,2380, Never Attended ,,
North Island College,2019-09-03,Health Care Assistant,,3595, Never Attended ,,
Nicola Valley Institute of Technology,2019-09-04,Bachelor of Social Work,2,8000, Completed  ,,
Selkirk College,2019-10-15,Plant Operator Certificate,1,4103.3, Completed  ,,
North Island College,2020-10-01,Animal Care Aide,1,2380,,,
College of the Rockies,2019-09-03,Human Science Worker,2,,, completing but not funded through us ,
Simon Fraser University,2019-09-01,Indigenous University Prep,,, Never Attended ,,
University of British Columbia,2019-09-03,Unclassified Studies,,, Attending , Credential received: Bachelor of Arts: Classical Near Eastern and Religious Studies ,
North Island College,2019-09-03,Business Certificate,,3590,,,
Vancouver Island University,2018-09-04,Professional Cook Level 1 & 2,1,3700, Completed  ,,
College of New Caledonia,2019-09-03,Heavy Mechanical Trade,,, Hiatus ,,
Thompson Rivers University,2022-10-01,CRIM 3151,1,806,, Transfer from UBC ,
Langara College,2019-09-03,Associate of Arts:History,,, Hiatus ,,
North Island College,2020-01-06,Upgrading & University Transfer,2,7000,,,
Camosun College,2019-09-04,Associate Degree of Arts,2,, Attending ,,
North Island College,2020-09-01,Social Work Diploma,,16560,,,
University of Victoria,2019-09-04,Bachelor of Arts,,, Attending ,,
University of Victoria,2020-01-01,,,, Never Attended ,,
College of New Caledonia,2022-12-01,Bachelor of Arts (General Studies),4,20370,, Transfer from CNC ,
BCIT,2019-09-01,Heavy Mechanical Trades Foundation,,, Completed  ,,
Vancouver Island University,2020-02-01,Applied Business Technology-Administrative Assistant,1,5500, Completed  ,,
Langara College,2019-09-03,Associate of Arts: Creative Writing,2,9395, Attending ,,
Camosun College,2019-09-03,College Prep,,, Attending , Currently upgradng ,
Douglas College,2019-09-01,Hear Inst Practioner Diploma,2,14560, Attending ,,
Justice Insitute of British Columbia,2020-09-08,Health Sciences Diploma,2,6285, Hiatus ,,
North Island College,2019-01-02,,,,,,
Okanagan College,2021-09-07,Practical Nursing Prerequisite,1,587.22, Attending ,,
University of the Fraser Valley,2022-01-05,Qualifying Studies,1,8313,,,
BCIT,2019-09-01,Associate Certificate: Marketing Management,1,6900, Hiatus ,,
University of the Fraser Valley,2019-08-26,Welding Level B,,6616, Completed  ,,
BCIT,2019-09-01,Operations Facilities Management,1,7100, Attending ,,
BCIT,2019-09-12,General Studies,1,6140, Hiatus ,,
Kwantlen Polytechnic University,2019-09-01,Arts,4,23500, Hiatus ,,
Langara College,2019-09-03,Associate of Arts,,,,,
Camosun College,2019-09-03,Indigenous College Prep,1,, Hiatus , Withdrew ,
Vancouver Community College,2021-03-13,Medical Terminology,1,2500, Completed  , Auto Service Technician Foundations Completed ,
Camosun College,2019-09-03,Electronics & Computer Engineering,2,, Hiatus , Last attended 02/20 ,
University of the Fraser Valley,2019-09-01,Qualifying Studies,,8005, Never Attended ,,
University of the Fraser Valley,2019-09-04,Bachelor of Integrated Studies,4,23765, Attending ,,
Thompson Rivers University,2019-09-01,Health Care Assistant/Education Assistant & Community Support,1,3495.6, Attending , Completed Health Care Assistant ,
Simon Fraser University,2019-09-04,Bachelor of Science,4,, Hiatus , Discontinued in program ,
Douglas College,2019-09-01,General Studies,2,12000, Hiatus ,,
Thompson Rivers University,2019-09-01,Bachelor Business Arts in Accounting,4,24100, Attending ,,
Vancouver Community College,2019-09-01,Music,4,1400, Completed  ,,
North Island College,2018-09-01,,,,,,
North Island College,2019-09-01,,,,,,
Douglas College,2019-09-01,Academic Foundations Certificate,1,1984.77, Hiatus ,,
Okanagan College,2019-09-02,Collision Repair/Paint & Refinish,1,5925, Hiatus ," Withdrew from classes Feb 27, 2020  ",
Camosun College,2019-06-05,College Preparatory,,, Hiatus , Last attended 08/20 ,
Douglas College,2019-09-01,General Studies,2,12000, Hiatus ,,
Nicola Valley Institute of Technology,1770-07-07,,,, Never Attended ,,
Northern Lights College,1770-07-07,Social Service Worker Diploam,2,,,,
Vancouver Island University,2019-09-03,Early Childhood Education,1,6000, Hiatus , Withdrawn Nov 2019 ,
Thompson Rivers University,2019-09-01,Medical Laboratory Assistant,1,6720, Hiatus ,,
Capilano University,1995-06-19,Legal Studies,,9211.93, Attending ,,
Simon Fraser University,2019-09-01,Bachelor of Arts,4,26160, Attending ,,
College of New Caledonia,2019-09-03,Nursing,,, Attending ,,
Thompson Rivers University,2019-09-01,Bachelor of Business Administration ,4,24000, Hiatus ,,
Thompson Rivers University,2019-09-03,Professional Cook 2,1.5,6606, Completed  ,,
Douglas College,2019-09-01,Associate Degree in Science,2,12000, Attending ,,
Vancouver Island University,1770-07-07,Health Care Assistant,1,3162, Never Attended ,,
Langara College,2019-09-01,General Education Diploma,,, Hiatus ,,
Vancouver Community College,2020-05-04,Esthetics and Spa Therapy,1,13712, Attending ,,
Okanagan College,2021-09-07,Estethics and Nail Tech ,1,10740,,,
Kwantlen Polytechnic University,2021-09-01,Bachelor of Business Administration ,4,33348, Attending ,,
Vancouver Community College,2019-11-01,Hairstylist,,12017, Hiatus , Covid ,
College of New Caledonia,2019-09-03,Business Management Diploma,2,, Hiatus ,,
